"product_id","product_name","aliases","official_url","segment","primary_market","official_languages","operating_status","verification_status","comparison_priority","inclusion_reason","checked_at"
"adspower","AdsPower","AdsPower 指纹浏览器","https://www.adspower.com/","core_antidetect_browser","global;China","zh;en;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"dolphin-anty","Dolphin Anty","Dolphin{anty}","https://dolphin-anty.com/","core_antidetect_browser","global;Eastern Europe","en;ru;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"gologin","GoLogin","Gologin;Orbita","https://gologin.com/","core_antidetect_browser","global","en;zh;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"morelogin","MoreLogin","MoreLogin Antidetect Browser","https://www.morelogin.com/","core_antidetect_browser","global;China","zh;en;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"multilogin","Multilogin","Multilogin X;Mimic;Stealthfox","https://multilogin.com/","core_antidetect_browser","global;Europe","en;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"web4-browser","Web4 Browser","Web4;Web4 AI Browser","https://web4browser.io/cn/","core_antidetect_browser","global;China","zh;en","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"bitbrowser","BitBrowser","比特浏览器;比特指纹浏览器","https://www.bitbrowser.cn/","core_antidetect_browser","China;global","zh;en;multi","active","official_homepage_verified","P1_deep_review_candidate","中文搜索需求较高；官网提供价格、帮助中心、API、RPA和双内核资料","2026-07-23"
"vmlogin","VMLogin","VMLOGIN;VMLogin 多登浏览器","https://www.vmlogin.com.cn/","core_antidetect_browser","China;global","zh;en","active","official_homepage_verified","P1_deep_review_candidate","中文市场长期存在；官网公开环境隔离、指纹、REST API与团队资料","2026-07-23"
"hubstudio","Hubstudio","HubStudio;Hubstudio 指纹浏览器","https://www.hubstudio.cn/","core_antidetect_browser","China","zh","active","official_site_reachable_unparsed","P1_deep_review_candidate","中文跨境市场相关性高；需继续核对官网字段、价格和客户端资料","2026-07-23"
"roxy-browser","Roxy Browser","Roxy 指纹浏览器","https://roxybrowser.cn/","core_antidetect_browser","China","zh","active","official_homepage_verified","P1_deep_review_candidate","中文搜索与跨境场景相关性高；官网明确定位为指纹浏览器","2026-07-23"
